id,category,prompt,rejected,chosen,rubric
rlhf_dom_014,visible_inference_not_social_omniscience,"From Dominic's point of view, show that a woman has authority in the office.",Dominic could tell everyone respected her authority.,Dominic watched the copyist take his hand off the disputed column when she leaned over the ledger.,"Dominic infers authority from visible behavior, not omniscient claims."
rlhf_dom_015,visible_inference_not_social_omniscience,Show Dominic noticing that a guard is afraid of a prisoner.,Dominic understood that the guard feared the prisoner deeply.,Dominic saw the guard keep the table between them even after the prisoner's wrists were tied.,Use visible spatial choices as inference evidence.
rlhf_inst_016,accumulated_implication_not_thesis,Rewrite: 'The marches survived by dishonesty distributed across institutions.',The marches survived by dishonesty distributed across institutions.,"The same freight clause appeared in the road office packet, then in the indemnity file, then again in the winter bridge estimate, each time with a different seal over the correction.",Replace thesis with recurring documentary evidence.
rlhf_inst_017,accumulated_implication_not_thesis,Show that several offices are hiding the same border problem.,The border problem persisted because multiple offices had quietly agreed not to name it.,The customs ledger called it a delay. The survey note called it a washout. The militia return left the road name blank.,Layer repeated euphemisms across documents.
rlhf_inst_018,accumulated_implication_not_thesis,Show institutional dishonesty through repeated papers.,The institution had learned to distribute lies until no single person owned them.,"Dominic found the missing load number first in a warehouse receipt, then in a repair petition, then in a governor's copy marked 'no action required.'",Make the lie emerge through recurrence across unrelated packets.
rlhf_speech_019,grounded_trade_speech_not_epigram,Rewrite: 'A fortification is a prediction about force.',A fortification is a prediction about force.,You can usually tell what kind of war a fort expected by where it drains badly.,Replace aphorism with practical trade speech rooted in material function.
rlhf_speech_020,grounded_trade_speech_not_epigram,"Have an engineer explain why margin matters, without sounding polished.",Margin is time purchased for honesty.,You get a few extra winters if the inspectors stop lying about the beams.,"Use plain occupational speech, not polished abstraction."
rlhf_speech_021,grounded_trade_speech_not_epigram,Have a bridge inspector comment on weak stone.,Stone records the character of those who place their faith in it.,Bad stone does not wait for a speech. It starts shedding corners in the first frost.,Keep speech grounded in observed failure modes.
rlhf_dlg_022,interruption_overlap_dialogue,Rewrite concept-response-concept dialogue about stress propagation into grounded overlapping speech.,"``Stress propagation.''
``Exactly.''","``The left brace is complaining first.''
``Wood does not complain.''
``It does when the peg hole widens.''
``That is not a complaint. That is failure.''
``Not yet. Failure is louder.''","Avoid abstract call-and-response. Use interruption, correction, material detail, and rhythm."
rlhf_dlg_023,interruption_overlap_dialogue,Write dialogue where two engineers argue over fog concealment without abstract concepts.,"``Visibility management.''
``Yes, concealment through atmospheric inference.''","``The fog is too clean.''
``Fog can be clean?''
``This one is. No coal stink, no wet bark, no dung smoke.''
``I regret asking.''
``Good. Regret is usually when you start listening.''",Dialogue should move through sensory specifics and social friction.
rlhf_dlg_024,interruption_overlap_dialogue,Write a conversation about a false bridge repair report.,"``Institutional falsification.''
``Precisely.''
``The report conceals structural decay.''","``They replaced the nails on paper.''
``On paper?''
``The old heads are still in the beam.''
``Maybe they reused them.''
``No one reuses bent nails unless he is poor, drunk, or filing a report.''
``Those are not mutually exclusive.''",Let the evidence and humor carry the institutional critique.
rlhf_hum_025,socially_embedded_dry_humor,Rewrite: 'The sort of liquor no individual wished to claim responsibility for.',It was the sort of liquor no individual wished to claim responsibility for.,The liquor burned sharply enough that Theodore stopped talking long enough to swallow.,Humor should arise from social action and physical reaction.
rlhf_hum_026,socially_embedded_dry_humor,Show bad coffee in a survey office with dry humor.,The coffee expressed the office's hostility to human comfort.,Dominic drank half a cup before asking whether the pot had been washed with river mud or merely filled from it.,Avoid narrator cleverness; embed humor in speech and material experience.
rlhf_hum_027,socially_embedded_dry_humor,Show a clerk reacting to an absurdly large invoice.,The invoice was a monument to bureaucratic optimism.,"The clerk read the total twice, turned the paper upside down, and said, 'It is worse in both directions.'",Let the joke happen through a character's physical and verbal response.
rlhf_motif_028,recurring_material_motifs_not_theme,Rewrite: 'The city processed the wars intellectually.',The city processed the wars intellectually.,"Route papers, engineering journals, freight indemnities, and copied clauses kept arriving in the same reading rooms, their margins darkened by the same winter soot.",State no theme; accumulate documents and places.
rlhf_motif_029,recurring_material_motifs_not_theme,Show that a city lives through infrastructure paperwork.,The city understood itself through the administrative memory of roads.,Bridge notices were pinned beside grain prices. Survey revisions sat under coffee cups. Boys carried toll receipts folded into their cuffs.,"Use recurring material motifs, not thematic explanation."
rlhf_motif_030,recurring_material_motifs_not_theme,Describe war entering civic life through paperwork.,War had become an intellectual habit of the city's institutions.,Militia returns appeared beside drainage estimates. Freight bonds named roads that had not reopened. The reading room kept ordering more pins.,Show war's civic presence through recurring papers and office objects.
rlhf_layer_031,layered_coexistence_not_x_really_y,Rewrite: 'The corridor was actually controlled by debt.',The corridor was actually controlled by debt.,"The old toll houses still took coin at the gates, while the Company's debt office began deciding which bridges received iron.",Avoid 'X was really Y'; show visible coexistence and quiet migration of authority.
rlhf_layer_032,layered_coexistence_not_x_really_y,Show political control moving from soldiers to accountants.,The garrison was really becoming an accounting office.,"The sentries still checked passes at the gate. Inside, two accountants changed the patrol route by refusing funds for the north road.",Keep both layers active rather than reducing one to the other.
rlhf_layer_033,layered_coexistence_not_x_really_y,Show a guild losing power to an insurer without declaring it.,The guild's authority was actually insurance authority now.,The guildmaster still stamped the apprentices' papers. The insurer's clerk decided which workshops could afford a new roof.,Let authority migrate materially while old forms remain.
rlhf_motion_034,continuing_motion_not_punchline,Rewrite: 'The structure inherited the mistake.',The structure inherited the mistake.,"The center support cracked with a dry sound no louder than snapped kindling, and the men on the far side began backing off the planks.",Avoid symmetrical literary punchlines. Continue the physical event.
rlhf_motion_035,continuing_motion_not_punchline,End a bridge failure scene without a polished thematic sentence.,The bridge had learned the arithmetic of neglect.,"Mud pushed through the split in the abutment. One of the oxen pulled sideways, dragging the empty trace chain after it.",Continue with material consequence rather than thematic closure.
rlhf_motion_036,continuing_motion_not_punchline,Show an overloaded cart damaging a road.,The road inherited every lie told about the load.,"The rear wheel sank to the hub. The driver cursed, unloaded two sacks, and found the rut already filling with brown water.","Use ongoing action and consequence, not a balanced punchline."
rlhf_emotion_037,physical_manifestation_not_emotional_labeling,Rewrite: 'The atmosphere thinned.',The atmosphere thinned.,No one reached for the bottle after that.,Replace emotional atmosphere labels with observable social behavior.
rlhf_emotion_038,physical_manifestation_not_emotional_labeling,Show a room becoming uncomfortable after an accusation.,The room grew tense with accusation.,The clerk set the pen down without blotting it. Ink widened over the last figure.,Show tension through interrupted task and physical residue.
rlhf_emotion_039,physical_manifestation_not_emotional_labeling,Show fear spreading during a night inspection.,Fear moved through the workers like a cold draft.,"One worker lowered his lantern. The next did the same, until the road ahead showed only boots and wet stones.",Manifest emotion through repeated physical action.
rlhf_comp_040,procedural_competence_not_aestheticized_competence,Rewrite: 'He moved like a predator.',He moved like a predator.,He checked the brace before stepping onto the plank.,"Competence should appear as procedure, not aesthetic comparison."
rlhf_comp_041,procedural_competence_not_aestheticized_competence,Show a competent surveyor crossing unsafe ground.,She crossed with the dangerous grace of someone born for broken ground.,She tested each stone with the iron ferrule of her staff before shifting her weight.,Use task-specific procedure to reveal competence.
rlhf_comp_042,procedural_competence_not_aestheticized_competence,Show a locksmith working well.,The locksmith's hands moved with predatory elegance.,"The locksmith wiped grit from the keyway, listened once, and changed to a thinner pick.","Competence emerges from sequence, correction, and tool choice."
rlhf_texture_043,institutional_material_texture_not_metaphysical_vibe,Rewrite: 'The city remembered the roads.',The city remembered the roads.,"Survey packets, freight notices, engineering revisions, and copied clauses accumulated in Greiffenberg reading rooms.",Replace metaphysical memory with institutional artifacts.
rlhf_texture_044,institutional_material_texture_not_metaphysical_vibe,Show a province remembering a failed canal through records.,The province carried the canal in its memory like an old wound.,Canal estimates remained in tax drawers long after the cut had filled with reeds. Freight notices still used the abandoned mile markers.,"Institutional memory should appear as documents, forms, and continued usage."
rlhf_texture_045,institutional_material_texture_not_metaphysical_vibe,Describe a company's influence spreading through administrative texture.,The Company seeped into the city like a second weather.,"Company paper replaced rag stock in the customs house first, then in the road office, then in the court copies that smelled faintly of the same blue ink.","Use material texture of institutions, not metaphysical atmosphere."
rlhf_pattern_046,pattern_recognition_through_recurrence,Rewrite: 'Dominic realized the institutions were connected.',Dominic realized the institutions were connected.,"Dominic found the same drafting error in a customs petition, a bridge estimate, and a militia requisition.",Avoid explanatory realization. Let recurrence produce inference.
rlhf_pattern_047,pattern_recognition_through_recurrence,Show Dominic detecting coordinated fraud.,Dominic understood that the fraud had been coordinated across offices.,"The false weight used the same misplaced comma in three ledgers, though the offices were two streets apart.",Pattern recognition comes from repeated anomalies.
rlhf_pattern_048,pattern_recognition_through_recurrence,Show Dominic noticing a shared source behind separate reports.,The reports clearly had a shared institutional origin.,"Each report misspelled Ziegenthal the same way, with the h before the g.",Use a concrete repeated error to imply shared origin.
rlhf_rhythm_049,cumulative_paragraph_rhythm_not_fragments,Rewrite the fragment style into cumulative observation: 'The same seals. The same clauses. The same lies.',"The same seals.

The same clauses.

The same lies.","By the fourth packet, Dominic had stopped checking the covers first; the same seals pressed into different wax, the same freight clauses copied in slightly different hands, and the same missing bridge number hiding in the lower margin.",Embed recurrence inside a flowing paragraph rather than isolated punch fragments.
rlhf_rhythm_050,cumulative_paragraph_rhythm_not_fragments,Show recurring bad accounts without isolated sentence fragments.,"The same sums.

The same omissions.

The same rot.","The sums returned in different columns, with the same missing winter loads and the same careful blank where the hauler's name should have been.",Use cumulative syntax and material recurrence.
rlhf_rhythm_051,cumulative_paragraph_rhythm_not_fragments,Show repeated corridor language across unrelated packets.,Repeated corridors. Repeated clauses. Repeated evasions.,"Corridor language kept surfacing where it did not belong, first in a bridge repair order, then in a flour indemnity, then in a militia packet that had no legal reason to mention freight at all.",Keep the observation in motion with concrete documents.
rlhf_trade_052,trade_speech_not_polished_aphorism,Rewrite: 'Margin is time purchased for honesty.',Margin is time purchased for honesty.,You get a few extra winters if the inspectors stop lying.,Prefer rough occupational phrasing over polished maxim.
rlhf_trade_053,trade_speech_not_polished_aphorism,Have a mason explain why cheap mortar fails.,Cheap mortar is a promise made against weather and lost by spring.,Bad mortar looks brave until the thaw. Then you can scrape it out with a spoon.,Use material test and trade experience.
rlhf_trade_054,trade_speech_not_polished_aphorism,Have a wagoner explain overloaded axles.,Every axle contains a moral argument about excess.,Load it past sense and it tells you at the first rut. Usually when you are farthest from help.,Ground the point in practical consequence.
rlhf_mix_055,mixed_style_conversion,Rewrite this passage in the preferred style: 'He was the sort of official whose authority filled rooms before he spoke. Dominic realized the clerks feared him.',He was the sort of official whose authority filled rooms before he spoke. Dominic realized the clerks feared him.,The official set his cane against the ledger table. Dominic saw both clerks move their ink bottles out of its reach.,"Remove sort-of phrasing, presence narration, and realization. Use visible inference."
rlhf_mix_056,mixed_style_conversion,Rewrite this passage: 'The office had the feeling of corruption layered over history.',The office had the feeling of corruption layered over history.,Old toll maps hung behind the new debt schedules. The same erased road number appeared under both panes of glass.,Replace vibe with institutional texture and repeated material evidence.
rlhf_mix_057,mixed_style_conversion,"Rewrite: 'She moved like a predator, and everyone respected her.'","She moved like a predator, and everyone respected her.",She checked the loose stair with her heel before climbing. No one spoke until she reached the landing.,Show procedural competence and social effect concretely.
rlhf_mix_058,mixed_style_conversion,Rewrite: 'The report was really a confession of institutional fear.',The report was really a confession of institutional fear.,The report named the washed-out culvert twice and the missing payroll not at all.,Avoid 'really' reductions. Let omissions and emphasis imply fear.
rlhf_scene_059,scene_generation,Write a short scene where Dominic suspects the road office is hiding damage from last winter.,Dominic sensed that the road office had buried last winter's damage beneath the routines of administration.,Dominic set the winter repair list beside the spring toll returns. Three bridges had taken money in March without appearing in the December damage column.,Use paper comparison and concrete discrepancy.
rlhf_scene_060,scene_generation,Write a short scene where a woman reveals that the official map has been altered.,"She revealed, with the presence of someone impossible to dismiss, that the official map concealed a lie.","She held the map against the window. Under the newer ink, the old road showed through as a gray line running straight into the marsh.",Reveal through physical handling of an object.
rlhf_scene_061,scene_generation,Show that a fort was designed for the wrong war.,The fortification embodied a prediction about force that history had already humiliated.,"The cannon ports faced the old road. The new rail cutting ran behind the powder house, close enough for boys to throw stones at the wall.",Material mismatch should reveal the argument.
rlhf_scene_062,scene_generation,Show social discomfort after someone mentions missing wages.,The room became heavy with guilt after he mentioned the missing wages.,"When he said 'wages,' the paymaster folded the receipt twice though it was already small enough for his pocket.",Use physical manifestation instead of emotional labeling.
rlhf_scene_063,scene_generation,Show a competent woman inspecting a bridge under pressure.,"She moved with lethal grace, a woman whose competence no one could question.","She tied her skirt above the mud, tapped the downstream pier with the hammer, and told the driver to keep the oxen off the span until the echo changed.","Competence comes from procedure, tools, and decisions."
rlhf_scene_064,scene_generation,Write a scene where dry humor emerges from bad equipment.,The pump was an object lesson in institutional contempt for those required to use it.,"The pump handle came off in Theodore's hand. He looked at it, looked at the rising water, and said, 'At least it has chosen a side.'",Embed humor in character reaction during ongoing action.
rlhf_scene_065,scene_generation,Show layered control over a mountain pass.,The mountain pass was really governed by finance rather than soldiers.,"The militia still kept a fire at the pass house. Below them, the creditor's clerk marked which mule trains could buy fodder on account.",Keep military and financial control coexisting.
rlhf_scene_066,scene_generation,Show a repeated drafting error connecting offices.,Dominic realized the municipal and Company offices had been coordinating.,"Dominic laid the two copies together. Both turned 'north culvert' into 'north culture,' and both corrected it with the same cramped loop through the t.",Pattern recognition through concrete recurrence.
rlhf_scene_067,scene_generation,Write dialogue where a clerk resists a false account.,"``Administrative fraud.''
``Yes. Moral courage is required.''","``This cart cannot weigh twelve hundredweight.''
``It did on Tuesday.''
``On Tuesday it had two wheels missing.''
``Then perhaps it was lighter.''
``Then perhaps you should write that before I do.''","Ground dialogue in document discrepancy, pressure, and dry exchange."
rlhf_scene_068,scene_generation,Write dialogue about hidden rot in a beam.,"``Structural decay.''
``Exactly. The surface conceals interior failure.''","``The paint is new.''
``Paint is cheap.''
``The beam looks sound.''
``So does bread until you cut it and find weevils.''
``That comparison was unnecessary.''
``It was accurate.''","Avoid concept-response dialogue; use analogy, objection, and trade detail."
rlhf_scene_069,scene_generation,Show institutional rot without saying rot.,Institutional rot had made the office incapable of honesty.,The complaint drawer had a new lock. The key hung from the same hook as the blank dismissal forms.,Use objects and administrative placement to imply corruption.
rlhf_scene_070,scene_generation,Show that a city processes road failures through reading rooms and notices.,The city transformed infrastructure failure into a language of learned civic anxiety.,"By noon, the failed bridge was in three places: a chalk notice at the freight yard, a copied estimate in the reading room, and a joke about wet boots at the baker's counter.",Use recurring material/social channels rather than thematic declaration.
rlhf_scene_071,scene_generation,Show a bad decision continuing to unfold after a support cracks.,The structure inherited the mistake and made it visible.,"The support cracked. Flour slid from the torn sacks first, then water came through the roadbed and turned it into paste under the men's boots.",Do not stop at the punchline; keep physical consequence moving.
rlhf_scene_072,scene_generation,Show Dominic noticing that debt authority has entered the road office.,Dominic realized debt had colonized the road office.,"Dominic found the creditor's initials beside the bridge priorities. The road-master's seal was still larger, but it had been pressed over an empty corner.","Authority shifts through markings, signatures, and document layout."
rlhf_scene_073,scene_generation,Write a paragraph where repeated seals imply coordination.,The same seals. The same clauses. The same conspiracy.,"The first seal belonged on the customs note. The second should not have been on a bridge estimate, and the third made no sense at all on a petition for winter grain, but all three had been pressed into the same dark green wax.",Cumulative paragraph rhythm; recurrence embedded in observation.
rlhf_scene_074,scene_generation,Show a practical explanation of defensive drainage.,Drainage reveals the strategic imagination of fortification.,"``They expected mud, not cannon.''
``Because of the ditch?''
``Because every drain points toward the road. You do not spend that much stone unless you are tired of carts sinking.''",Use trade speech and practical inference.
rlhf_scene_075,scene_generation,Show a woman who is difficult to refuse without saying it.,She had the presence of someone difficult to refuse.,"She asked for the north ledger. The clerk opened the south drawer, stopped, closed it, and opened the north one instead.",Authority shown through corrected action.
rlhf_scene_076,scene_generation,Describe a room after a dangerous truth is spoken.,The atmosphere thinned until every person felt exposed.,"After he said the bridge had been paid for twice, the only sound was the stove settling and one clerk breathing through his nose.","Use sound, stillness, and bodily detail instead of emotional labels."
rlhf_scene_077,scene_generation,Show an old administrative dispute materially.,The papers carried the bitterness of arguments that had outlived their authors.,"One petition had six dates in the corner. Under the final one, someone had pressed the nib through the page after writing 'deferred.'",Material marks replace faux-perceptive commentary.
rlhf_scene_078,scene_generation,Show a powerful official without narrator omniscience.,Everyone understood he was the most powerful man in the room.,He cleared his throat once. The road-master stopped adding figures and left the wrong sum unfinished.,Show power through interrupted action.
rlhf_scene_079,scene_generation,Show that a false repair has been made only on paper.,The repair existed only as bureaucratic fiction.,"The invoice listed new bolts. Dominic wiped mud from the brace and found the old square heads, rust packed around them like dried blood.",Contrast document claim with physical inspection.
rlhf_scene_080,scene_generation,Write dialogue with interruption and overlap about forged measurements.,"``Measurement fraud.''
``Indeed. The data contradicts reality.''","``This span is not thirty feet.''
``It is in the report.''
``The report can stretch. Oak cannot.''
``You measured it?''
``Twice.''
``In rain?''
``Rain does not shorten a bridge.''","Ground disagreement in measurement, material limits, and clipped exchange."
rlhf_scene_081,scene_generation,Show a city remembering war through ordinary civic documents.,The city remembered the war through the quiet machinery of civic record.,"The casualty lists were gone from the square, but the road office still marked three lanes as 'temporary military damage' and charged the repairs to no one.",Institutional memory through persistent labels and records.
rlhf_scene_082,scene_generation,"Show a man used to command, no abstract wording.",He carried himself like a man born to command.,He handed his coat to the nearest clerk without looking at him and began reading the paper still in the clerk's hand.,Action reveals entitlement to command.
rlhf_scene_083,scene_generation,Show a concealed institutional connection through repeated language.,Dominic perceived the hidden network binding the offices together.,"The phrase 'temporary passage interruption' appeared in the customs copy, the court extract, and the warehouse refusal, although only one of them concerned a road.",Repeated institutional language carries the implication.
rlhf_scene_084,scene_generation,Show a practical comment about forts and drainage.,A fortification is a prediction about force.,"``If the drains face the road, they feared mud. If they face the river, they feared siege. If they face nowhere, they feared paying masons.''",Trade speech with practical categories and dry humor.
rlhf_scene_085,scene_generation,Show bad liquor with socially embedded humor.,The liquor was a democratic catastrophe no one wished to own.,"Theodore swallowed, blinked twice, and asked whether the bottle had been stored near lamp oil or merely educated by it.",Humor through bodily reaction and dialogue.
rlhf_scene_086,scene_generation,Show fear after a map is unfolded.,Fear entered the room when the map revealed the truth.,"When the map opened, the tax clerk moved his thumb over the northern road before anyone had asked about it.",Emotion through defensive gesture.
rlhf_scene_087,scene_generation,Show competence in a carpenter under pressure.,The carpenter moved like a hawk among idiots.,"The carpenter sighted along the beam, shaved one peg with his knife, and told the men to lift on his second count, not his first.",Procedure and instruction show competence.
rlhf_scene_088,scene_generation,Show a layered coexistence of old toll authority and new company control.,The toll system was really just Company power in disguise.,"The tollkeeper still wore the brass badge. Behind him, the Company schedule listed which carts received credit and which waited until morning.",Old symbol and new mechanism coexist.
rlhf_scene_089,scene_generation,Show a calculation page after a bitter argument.,The calculation page displayed the emotional history of professional disagreement.,Two columns had been added in different inks. A third had been struck through so hard the desk showed beneath the tear.,Material traces replace abstract description.
rlhf_scene_090,scene_generation,Write dialogue where someone corrects visually biased thinking.,"``Perceptual bias.''
``Correct. You overprivilege vision.''","``You looked at the wall first.''
``It was cracked.''
``The floor dipped before the wall cracked.''
``I cannot see a dip in the dark.''
``Then use your feet, not your pride.''","Ground abstract cognition in body, tools, and correction."
rlhf_scene_091,scene_generation,Show an account hiding a military problem.,The account was really a military document disguised as trade.,The flour account listed six mule teams as spoiled grain. The same six names appeared two pages later under 'road escort unavailable.',Do not reduce; connect documents through repeated details.
rlhf_scene_092,scene_generation,Show a bridge failure continuing after the first crack.,The failure completed the argument the builders had refused to have.,"After the first crack, the railing bowed outward. One plank lifted at the nail heads, and a boy on the bank started shouting for the oxen to back.",Continue material action rather than thematic closure.
rlhf_scene_093,scene_generation,Show an official trying to erase a road from a record.,He attempted to impose institutional forgetting upon the road.,"He drew one line through the road name, then another through the mile marker, but the wet ink left both readable when Dominic tilted the page.",Material process shows attempted erasure.
rlhf_scene_094,scene_generation,Show a repeated euphemism across three offices.,The institutions had learned to share euphemism as a survival strategy.,The customs house called the ambush a delay. The road office called it a blockage. The court copy called it weather.,Repeated euphemisms imply coordinated avoidance.
rlhf_scene_095,scene_generation,Show status in a meeting without naming respect.,The men respected him enough to fall silent.,He reached for the compass. The man holding it opened his hand before their fingers touched.,Physical deference shows status.
rlhf_scene_096,scene_generation,Show a city processing a crisis without thesis narration.,The city processed crisis through its habitual intellectual machinery.,"By evening, the washout had become a notice at the freight gate, a copied estimate at the road office, and three contradictory prices for lime.",Use civic artifacts and economic reactions.
rlhf_scene_097,scene_generation,Show embodied authority during testimony.,Her authority dominated the room during testimony.,She let the question sit until the magistrate stopped tapping his ring against the table.,Authority appears through timing and altered behavior.
rlhf_scene_098,scene_generation,Show an old lie surviving in copies.,The lie survived through institutional reproduction.,The wrong culvert number had been copied so often that the newest clerk had written it in a cleaner hand than the truth beside it.,Institutional persistence through copying and document age.
rlhf_scene_099,scene_generation,Write dialogue where someone notices smell before sight.,"``Sensory precedence.''
``Correct. Olfaction precedes visual confirmation.''","``The tar is fresh.''
``It looks old.''
``I said tar, not paint.''
``You smelled that from the road?''
``So did the horse. He had better manners about it.''","Sensory detail, interruption, and dry social humor."
rlhf_scene_100,scene_generation,Show a paper trail revealing authority migration.,Authority had migrated invisibly from local office to Company debt.,"The mayor's seal still opened the packet. The payment order inside used Company numbers, Company ink, and a Company clerk's correction in the margin.",Show migration through layers of document control.
